h1,h2,h3,lr,reg,init,activation,train_acc,train_loss,val_acc,val_loss,time,weight_path,log_path,test_acc
128,64,32,0.001,0.001,he,sigmoid,20.33333333333333,2.5167349900580773,20.12,2.517332045010169,428.49,weights/best_model_he_sigmoid_128_64_32_lr0.001_reg0.001.pkl,logs/history_he_sigmoid_128_64_32_lr0.001_reg0.001.pkl,20.330000000000002
128,64,32,0.001,0.001,xavier,relu,39.73777777777778,1.9049624708315185,38.1,1.9207040658405847,430.2,weights/best_model_xavier_relu_128_64_32_lr0.001_reg0.001.pkl,logs/history_xavier_relu_128_64_32_lr0.001_reg0.001.pkl,39.46
128,64,32,0.001,0.001,xavier,tanh,41.29111111111112,1.887699231515325,39.62,1.9098417897760385,458.77,weights/best_model_xavier_tanh_128_64_32_lr0.001_reg0.001.pkl,logs/history_xavier_tanh_128_64_32_lr0.001_reg0.001.pkl,40.79
128,64,32,0.001,0.001,xavier,sigmoid,20.837777777777777,2.4848200576755466,21.3,2.485068605038758,469.86,weights/best_model_xavier_sigmoid_128_64_32_lr0.001_reg0.001.pkl,logs/history_xavier_sigmoid_128_64_32_lr0.001_reg0.001.pkl,20.66
128,64,32,0.001,0.001,normal,relu,10.002222222222224,2.3222337720405526,10.06,2.322233813376864,437.99,weights/best_model_normal_relu_128_64_32_lr0.001_reg0.001.pkl,logs/history_normal_relu_128_64_32_lr0.001_reg0.001.pkl,10.07
128,64,32,0.001,0.001,normal,tanh,11.604444444444445,2.322241206824735,14.04,2.3222428530230554,414.79,weights/best_model_normal_tanh_128_64_32_lr0.001_reg0.001.pkl,logs/history_normal_tanh_128_64_32_lr0.001_reg0.001.pkl,15.06
128,64,32,0.001,0.001,normal,sigmoid,10.0,2.322235399118909,10.0,2.322235408300164,423.58,weights/best_model_normal_sigmoid_128_64_32_lr0.001_reg0.001.pkl,logs/history_normal_sigmoid_128_64_32_lr0.001_reg0.001.pkl,10.0
256,128,64,0.01,0.0,he,relu,63.16222222222222,1.0556352529974475,52.5,1.367201610963397,565.5,weights/best_model_he_relu_256_128_64_lr0.01_reg0.0.pkl,logs/history_he_relu_256_128_64_lr0.01_reg0.0.pkl,52.86
256,128,64,0.01,0.0,he,tanh,59.74222222222222,1.1508053234427056,51.46,1.3821717644763536,588.11,weights/best_model_he_tanh_256_128_64_lr0.01_reg0.0.pkl,logs/history_he_tanh_256_128_64_lr0.01_reg0.0.pkl,51.88
256,128,64,0.01,0.0,he,sigmoid,31.855555555555554,1.898782815580744,30.82,1.913914211296318,643.94,weights/best_model_he_sigmoid_256_128_64_lr0.01_reg0.0.pkl,logs/history_he_sigmoid_256_128_64_lr0.01_reg0.0.pkl,31.55
256,128,64,0.01,0.0,xavier,relu,62.34,1.0767097788969249,52.7,1.3543615929917203,577.21,weights/best_model_xavier_relu_256_128_64_lr0.01_reg0.0.pkl,logs/history_xavier_relu_256_128_64_lr0.01_reg0.0.pkl,52.96999999999999
256,128,64,0.01,0.0,xavier,tanh,58.18888888888889,1.1940641804019845,52.02,1.3873999942889703,595.23,weights/best_model_xavier_tanh_256_128_64_lr0.01_reg0.0.pkl,logs/history_xavier_tanh_256_128_64_lr0.01_reg0.0.pkl,51.94
256,128,64,0.01,0.0,xavier,sigmoid,28.337777777777777,1.9608026053948728,27.200000000000003,1.9755757610902704,623.02,weights/best_model_xavier_sigmoid_256_128_64_lr0.01_reg0.0.pkl,logs/history_xavier_sigmoid_256_128_64_lr0.01_reg0.0.pkl,28.08
256,128,64,0.01,0.0,normal,relu,22.891111111111112,1.9868103644299413,22.4,1.9966853876667687,608.52,weights/best_model_normal_relu_256_128_64_lr0.01_reg0.0.pkl,logs/history_normal_relu_256_128_64_lr0.01_reg0.0.pkl,22.78
256,128,64,0.01,0.0,normal,tanh,27.524444444444445,1.895806244617489,27.32,1.910074420012853,615.49,weights/best_model_normal_tanh_256_128_64_lr0.01_reg0.0.pkl,logs/history_normal_tanh_256_128_64_lr0.01_reg0.0.pkl,26.950000000000003
256,128,64,0.01,0.0,normal,sigmoid,10.0,2.3025844078620525,10.0,2.3025844298607314,667.91,weights/best_model_normal_sigmoid_256_128_64_lr0.01_reg0.0.pkl,logs/history_normal_sigmoid_256_128_64_lr0.01_reg0.0.pkl,10.0
256,128,64,0.01,0.0001,he,relu,62.63333333333333,1.1124037612815776,52.3,1.4145211069884551,642.4,weights/best_model_he_relu_256_128_64_lr0.01_reg0.0001.pkl,logs/history_he_relu_256_128_64_lr0.01_reg0.0001.pkl,52.82
256,128,64,0.01,0.0001,he,tanh,59.67555555555556,1.2074350714634716,51.7,1.434118602905684,655.24,weights/best_model_he_tanh_256_128_64_lr0.01_reg0.0001.pkl,logs/history_he_tanh_256_128_64_lr0.01_reg0.0001.pkl,52.25
256,128,64,0.01,0.0001,he,sigmoid,32.06888888888889,1.9454490356487248,31.44,1.9608446943049096,663.99,weights/best_model_he_sigmoid_256_128_64_lr0.01_reg0.0001.pkl,logs/history_he_sigmoid_256_128_64_lr0.01_reg0.0001.pkl,31.929999999999996
256,128,64,0.01,0.0001,xavier,relu,61.76888888888888,1.134270513461479,52.900000000000006,1.4036307815617164,592.07,weights/best_model_xavier_relu_256_128_64_lr0.01_reg0.0001.pkl,logs/history_xavier_relu_256_128_64_lr0.01_reg0.0001.pkl,52.629999999999995
256,128,64,0.01,0.0001,xavier,tanh,57.824444444444445,1.24449037454851,52.1,1.4331433941550555,611.25,weights/best_model_xavier_tanh_256_128_64_lr0.01_reg0.0001.pkl,logs/history_xavier_tanh_256_128_64_lr0.01_reg0.0001.pkl,51.62
256,128,64,0.01,0.0001,xavier,sigmoid,28.04888888888889,2.022535014533267,27.72,2.035733963785189,637.77,weights/best_model_xavier_sigmoid_256_128_64_lr0.01_reg0.0001.pkl,logs/history_xavier_sigmoid_256_128_64_lr0.01_reg0.0001.pkl,28.000000000000004
256,128,64,0.01,0.0001,normal,relu,21.97777777777777,1.99776306127571,21.58,2.00662990739134,600.55,weights/best_model_normal_relu_256_128_64_lr0.01_reg0.0001.pkl,logs/history_normal_relu_256_128_64_lr0.01_reg0.0001.pkl,21.89
256,128,64,0.01,0.0001,normal,tanh,28.673333333333336,1.8641896188098668,28.44,1.884394368290162,620.64,weights/best_model_normal_tanh_256_128_64_lr0.01_reg0.0001.pkl,logs/history_normal_tanh_256_128_64_lr0.01_reg0.0001.pkl,28.76
256,128,64,0.01,0.0001,normal,sigmoid,10.0,2.3066188488533794,10.0,2.306618892900666,631.52,weights/best_model_normal_sigmoid_256_128_64_lr0.01_reg0.0001.pkl,logs/history_normal_sigmoid_256_128_64_lr0.01_reg0.0001.pkl,10.0
256,128,64,0.01,0.001,he,relu,62.61555555555556,1.4642751333119146,53.2,1.7410201884266394,605.98,weights/best_model_he_relu_256_128_64_lr0.01_reg0.001.pkl,logs/history_he_relu_256_128_64_lr0.01_reg0.001.pkl,53.39
256,128,64,0.01,0.001,he,tanh,58.22222222222222,1.5913702771564189,51.74,1.7817419108583978,601.71,weights/best_model_he_tanh_256_128_64_lr0.01_reg0.001.pkl,logs/history_he_tanh_256_128_64_lr0.01_reg0.001.pkl,51.78
